,license,license_cleaned
0,29049/AL,29049
3,5929/AL,5929
7,nan,
8,55201/AL,55201
9,634/AL,634
10,75534/AL,75534
11,nan,
13,85541/AL,85541
17,5929/AL,5929
18,nan,
19,nan,
20,nan,
21,11205/AL,11205
22,nan,
24,7437/AL,7437
26,nan,
27,5525/AL,5525
28,5525/AL,5525
29,5380/AL,5380
30,5525/AL,5525
31,5525/AL,5525
32,40436/AL,40436
33,17076/AL,17076
35,40626/AL,40626
36,nan,
37,nan,
41,6184/AL,6184
43,6184/AL,6184
45,20531/AL,20531
47,30100/AL,30100
48,4833/AL,4833
49,nan,
51,18642/AL,18642
53,6209/AL,6209
54,nan,
56,84715/AL,84715
58,5458/AL,5458
59,34224/AL,34224
60,6981/AL,6981
62,52314/AL,52314
63,nan,
64,nan,
65,5773/AL,5773
69,30401/AL,30401
70,7235/AL,7235
71,6762/AL,6762
72,36689/AL,36689
73,7235/AL,7235
74,7233/AL,7233
75,5400/AL,5400
76,44408/AL,44408
77,5488/AL,5488
79,87222/AL,87222
81,30401/AL,30401
82,7293/AL,7293
83,60563/AL,60563
84,6851/AL,6851
85,7349/AL,7349
86,6760/AL,6760
87,6764/AL,6764
88,62657/AL,62657
89,44204/AL,44204
90,nan,
91,5929/AL,5929
92,nan,
93,nan,
94,nan,
95,80872/AL,80872
98,5929/AL,5929
99,nan,
100,13618/AL,13618
102,6946/AL,6946
103,7155/AL,7155
104,600/AL,600
106,14929-AL,14929
107,6852/AL,6852
108,14925/AL,14925
110,19288/AL,19288
112,132540/AL,132540
114,nan,
115,6482/AL,6482
116,52937/AL,52937
119,9049/AL,9049
121,nan,
122,21027/AL,21027
124,nan,
125,AL 52876,52876
126,6989/AL,6989
127,6995/AL,6995
128,nan,
129,6985/AL,6985
130,28177/AL,28177
131,nan,
132,nan,
133,nan,
134,49892/AL,49892
136,19269/AL,19269
137,31834/AL,31834
138,6475/AL,6475
139,31839/AL,31839
140,31843/AL,31843
141,18106/AL,18106
142,18107/AL,18107
143,18108/AL,18108
144,5620/AL,5620
146,18110/AL,18110
147,18109/AL,18109
148,6686/AL,6686
149,18111/AL,18111
150,56333/AL,56333
151,9594/AL,9594
152,71550/AL,71550
153,92876/AL,92876
155,6999/AL,6999
156,4916/AL,4916
158,109485/AL,109485
159,6667/AL,6667
161,6675/AL,6675
162,6681/AL,6681
163,4925/AL,4925
164,5105/AL,5105
169,44228/AL,44228
170,44934/AL,44934
171,5527/A,5527
172,19337/AL,19337
173,6466/AL,6466
174,18733/AL,18733
175,5317/AL,5317
178,nan,
180,nan,
182,nan,
183,50023/AL,50023
184,6452/AL,6452
185,17079/AL,17079
186,6842/AL,6842
187,51881/AL,51881
188,6467/AL,6467
189,46830/AL,46830
190,5929/AL,5929
191,nan,
192,nan,
194,nan,
196,87520/AL,87520
199,16768/AL,16768
201,16769/AL,16769
202,37518/AL,37518
203,4910/AL,4910
204,6468/AL,6468
205,nan,
206,29424/AL,29424
207,4826/AL,4826
208,6478/AL,6478
209,53616/AL,53616
211,55451/AL,55451
212,32112/AL,32112
213,6837/AL,6837
214,5492/AL,5492
215,55451/AL,55451
216,5426 AL,5426
217,55451/AL,55451
218,55451/AL,55451
219,55451/AL,55451
220,5442/AL,5442
221,5620/AL,5620
222,nan,
223,7090/AL,7090
225,45802/AL,45802
228,6474/AL,6474
229,45802/AL,45802
231,45802/AL,45802
232,6462/AL,6462
233,nan,
235,45802/AL,45802
237,45802/AL,45802
238,45802/AL,45802
239,45802/AL,45802
240,51537/AL,51537
242,19239/AL,19239
245,nan,
247,12182/AL,12182
248,7330/AL,7330
251,19111/AL,19111
252,nan,
254,7057/AL,7057
255,27018/AL,27018
257,39045/14/CMP,39045
258,85269/AL,85269
260,5705/AL,5705
261,65451/AL,65451
263,6330/AL,6330
265,nan,
266,19340/AL,19340
267,35755/AL,35755
268,18961/AL,18961
269,51550/AL,51550
270,19336/AL,19336
271,90567/AL,90567
273,21471/AL,21471
274,51544/AL,51544
275,52937/AL,52937
277,83553/AL,83553
278,nan,
279,19579/AL,19579
280,6787/AL,6787
284,33469/AL,33469
286,33475/AL,33475
287,nan,
288,33475/AL,33475
289,5616/AL,5616
290,5636/AL,5636
291,32785/AL,32785
292,12275/Al,12275
293,5622/AL,5622
296,6067/AL,6067
298,90568/AL,90568
299,nan,
301,6654/AL,6654
302,5595/AL,5595
303,48354/AL,48354
305,52599/AL,52599
306,42945/AL,42945
307,86479/AL,86479
309,nan,
310,83417/AL,83417
311,6056/AL,6056
313,5929/AL,5929
315,4649/AL,4649
316,11940/AL,11940
317,5906/AL,5906
319,38092/AL,38092
320,nan,
321,l/180032/12/CMP,180032
324,12279/Al,12279
325,42945/AL,42945
326,45615/AL,45615
328,41827/AL,41827
329,49474/AL,49474
330,41827/AL,41827
332,12680/AL,12680
333,9667/AL,9667
334,5925/AL,5925
335,6071/AL,6071
336,nan,
338,5253/AL,5253
339,nan,
340,37632/AL,37632
341,nan,
342,5889/AL,5889
343,6667/AL,6667
344,5200/AL,5200
345,6675/AL,6675
346,70262/AL,70262
347,12278/Al,12278
348,74530/AL,74530
349,12283/AL,12283
350,5929/AL,5929
354,nan,
357,5545/AL,5545
358,45863/AL 45874/AL 45876/AL 45881/AL,45863
359,45802/AL,45802
361,nan,
362,5545/AL,5545
363,5545/AL,5545
364,nan,
365,20655/AL,20655
366,5545/AL,5545
367,48313/AL,48313
368,67336/AL,67336
370,35627/AL,35627
371,75060/AL,75060
373,nan,
374,6294/AL,6294
375,45863/AL,45863
376,nan,
377,7045/AL,7045
379,nan,
381,nan,
385,6709/AL,6709
387,5693AL,5693
388,10052/AL,10052
389,5648/AL,5648
391,nan,
392,nan,
393,Exempt,
394,nan,
395,nan,
396,nan,
398,22943/AL,22943
399,20333/AL,20333
400,53789/AL,53789
401,69069/Al,69069
402,nan,
403,20335/AL,20335
404,74415/AL,74415
405,60611/AL,60611
408,132340/AL,132340
409,94824/AL,94824
411,133231/AL,133231
412,39893/AL,39893
413,10864/AL,10864
415,94824/AL,94824
416,133235/AL,133235
417,nan,
418,20267/AL,20267
420,94824/AL,94824
421,35500/AL,35500
423,94824/AL,94824
425,94824/AL,94824
426,15133/AL,15133
427,5948/AL,5948
428,15136/AL,15136
429,5018/AL,5018
432,nan,
433,32297/AL,32297
437,12899/AL,12899
439,85444/AL,85444
441,85444/AL,85444
442,53757/AL,53757
443,65101/AL,65101
445,19218/AL,19218
447,45339/AL,45339
448,76049/AL,76049
449,76265/AL,76265
450,6471/AL,6471
451,45309/AL,45309
452,8626-AL,8626
453,76049/AL,76049
454,55903/AL,55903
455,nan,
456,19703/AL,19703
457,42524/AL,42524
459,5227/AL,5227
461,50192/AL,50192
462,4567/AL,4567
463,43359/AL,43359
464,82938/AL,82938
465,43353/AL,43353
466,43352/AL,43352
467,3665/AL,3665
468,20524/AL,20524
470,28217/AL,28217
471,20523/AL,20523
472,28217/AL,28217
473,28217/AL,28217
474,8172/AL,8172
475,48302/AL,48302
476,22464/AL,22464
478,5651/AL,5651
479,26464/AL,26464
480,12475/AL,12475
483,342/AL,342
484,5525/AL,5525
485,AL 52876,52876
486,26435/AL,26435
487,8562-AL,8562
489,4115/AL,4115
490,nan,
491,5327/AL,5327
492,nan,
493,50533/AL,50533
494,nan,
495,nan,
496,8458/AL,8458
497,nan,
498,15533/AL,15533
499,24056/AL,24056
500,23947/AL,23947
501,50930/AL,50930
502,6091/AL,6091
503,5015/AL,5015
504,82216/AL,82216
505,26404/AL,26404
506,11092/AL,11092
507,11094/AL,11094
508,11095/AL,11095
510,105558/AL,105558
512,65099/AL,65099
513,38212/AL,38212
514,nan,
515,120760/AL,120760
516,nan,
517,19702/AL,19702
518,26385/AL,26385
519,66582/AL,66582
522,nan,
523,20542/AL,20542
525,nan,
528,44073/AL,44073
529,7979/AL,7979
531,64646/AL,64646
532,3171/AL,3171
533,10484/AL,10484
534,1584/AL,1584
535,11090/AL,11090
537,7042/AL,7042
538,34661/AL,34661
539,5930/AL,5930
540,11093/AL,11093
541,11096/AL,11096
542,53355-AL,53355
543,Exempt,
546,109483/AL,109483
548,28995/AL,28995
549,14519 AL,14519
550,53401/AL,53401
552,10248/AL,10248
553,16825/AL,16825
555,10994/AL,10994
556,90430/AL,90430
558,12465/AL,12465
559,8976/AL,8976
560,7133/AL,7133
561,5929/AL,5929
562,6714/AL,6714
565,21443/AL,21443
567,45726/AL,45726
568,78404/AL,78404
