,Denominacao,Endereco
34,Casa do Pinheiro-Self-Catering Apartments,Rua Pinheiro 71 1º 2º 
41,"BENARDI - Sociedade Imobiliária, S.A.",Travessa São Sebastião 51 r/c dtº Fração B
72,"BENARDI - Sociedade Imobiliária, S.A.",Travessa São Sebastião 51 r/c F Fração A
280,New Oporto - Apartments,Rua Trindade Coelho 10 C-2 1.º Traseiras
353,Casa Andorinha,Rua Pinheiro 28 R/C 
476,bnapartments Palácio,Rua Boa Nova 140 hab.2.2 Fração G
508,Casa Andorinha,Rua Pinheiro 28 2.º 
528,bnapartments Palácio,Rua Boa Nova 140 hab.2.1 Fração F
595,Beautiful Mezzanine,"Rua Rua Almada 430 Piso 2 Frt Fracção ""E"
963,Casa Maria,Rua Rua 3 Casa 3  
1009,Florway Apartment,Rua Rua Flores 45 2.º Frt. Esq.º
1028,Taipas Apartments,Rua Rua Taipas 95/97 1º Tras. Fração C
1038,OportoVacations,Rua Rua Almada 665 2.º Drt Hab 8
1143,CASAS DO TEATRO,Rua Rua Porta do Sol 20 R/C B-Hab 0.2
1267,Porto D`ouro Apartment,Bairro Bairro João do Carmo 14 rc 
1375,CHIC & COZY APARTMENTS,Rua Rua Alegria 158/162 1.º Dt.º Tras.
1466,Loft Trindade,Rua Rua Camões 77 1.º Dt.º F 1.2 
1556,Porto By Heart,Rua Rua Pinheiro 53 2º. Fte.
1679,FOZ DO DOURO,"1ª Rua RUI BARBOSA,18 21 2 "
1754,CHIC & COZY APARTMENTS,Rua Rua Almada 261 5º. Esq.Ft Fracção Q
1810,Amazing River View Apartment,Bairro Bairro João do Carmo Casa 12  
1889,Porto By Heart,Rua Rua Pinheiro 53 1º. Fte
2168,ILHA DA GLÓRIA 2,Rua Rua Glória - Bairro Oliveira C/1 201 casa 1 
2219,Porto Centro,Rua Rua O Comércio do Porto 129 a 133 3º Esq. Frt.
2331,Porto Centro,Rua Rua O Comércio do Porto 129 a 133 3º Esq. Tras.
2657,Apartamento,Rua Rua 195 2 Frente
2773,Liiiving in Porto | Downtown Charm Apartment,Rua Rua Pinheiro 19 R/C e 1 -
2910,CASAS DO TEATRO,Rua Rua Porta do Sol 20 R/C D-Hab 0.4
2952,ILHA DA GLORIA 11,Ilha RUA DA GLORIA- BAIRRO OLIVEIRA 201 CASA 11 
2953,ILHA DA GLÓRIA 12,1ª Rua : Rua da Glória - Bairro Oliveira C/12 201 casa 12 
3043,IVCorreia,Rua Rua Pinheiro 19 2 T
3126,Oporto Prestige Neto's House,Rua Quinta Rua do Bairro de Alexandre Herculano 16  
3141,Lima House,"1ª Rua Rua da Alegria 968, habitação 26 968 2 26"
3300,Oporto Trindade Residence,Rua Rua Camões 77 7 7.1 e 7.3
3322,Douro Virtudes - 3,Rua Rua Virtudes 9 4 frt Fração E
3555,ApartamentoBoavistaPorto,Rua Rua D. António Barroso nº 11 4 Direito 11 4 DTO
3634,Apartment Boavista Roundabout by Sweet porto  - 104,1ª Rua Rua Nossa Senhora de Fátima  474-476 R/C Drt.-Frt
3665,APOSENTUS - Your Home at Pinheiro's Residence,Rua Rua Pinheiro 14 2 frente
3719,apartamentos pinheiro,Rua Rua Pinheiro 14 rc tras
3723,Pinheiros 001,Rua Rua Pinheiro 70 R/C 
3762,WHITE BY MY OPORTO HOUSE,Rua Rua O Comércio do Porto 93-97 2º ANDAR 
4042,Jomi,Rua Rua Pinheiro 26 R/C 
4079,INVICTA PORTO,1º Largo Largo    
4113,4PortoApartments#3,Rua Pinheiro 14 1 Frente
4114,Portofamilyhouse,Rua Rua 5 Casa15  
4231,T0 Almada 468 2F,Rua Rua 468 2 FR
4532,Liiiving in Porto | Cosy & Chic Downtown,Rua Rua Pinheiro 19 2º Frente
4587,Cozzy & Pop at Trindade,1ª Rua Rua 68 2º dto
4636,Cozzy @ Firmeza,1ª Rua Rua 105 2º Frente
4752,Oporto Picaria Apartment (N62),Largo Largo Monpiher 5 2º 
5460,Pinheiro HESEMANS,Rua Rua Pinheiro 22 r/c Tras.
5539,Caligrafia 1,Rua Rua Pinheiro 22 3 FRENTE
5543,Apartamentos Jardins da Muralha by Urbaccent - Dúplex Pátio ,Rua Rua Arnaldo Gama 78 -1 e 0 
5614,"Abreu Faro - Mediação Imobiliária, Lda",Rua Rua Boavista 181 e 183 R/C Traseiras
5660,4PortoApartments#4,Rua Rua Pinheiro 14 2 traseiras
5707,JANIKA'S PATIO,Rua Rua Pinheiro 16 R/c 
5726,Indulge Porto Flats,Rua Rua Pinheiro 95 r/c 
5914,HM- CHARMING PINHEIRO DUPLEX APARTMENT ,Rua Rua Pinheiro 19 R/C 
6084,Woderful Porto,"Calçada Calçada Monchique 2,4 e 6 2º Andar "
6120,Liiiving in Porto | Charming Downtown Delight II,Rua Rua Pinheiro 22 2º Frente
6122,RLS Pinheiro Apartment,Rua Rua Pinheiro 22 1 Frt
6149,Woderful Porto,"Calçada Calçada Monchique 2,4 e 6 R/Ch "
6183,Liiiving in Porto | Charming Downtown Delight I,Rua Rua Pinheiro 22 1º Traseiras
6186,Norys Sabina,Rua Rua Pinheiro 22 3º Tr
