,OBJECTID,BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,NUTS1,NUTS2,NUTS3,N_EDIFICIOS_CLASSICOS,N_EDIFICIOS_CLASS_CONST_1_OU_2_ALOJ,N_EDIFICIOS_CLASS_CONST_3_OU_MAIS_ALOJAMENTOS,N_EDIFICIOS_EXCLUSIV_RESID,N_EDIFICIOS_1_OU_2_PISOS,N_EDIFICIOS_3_OU_MAIS_PISOS,N_EDIFICIOS_CONSTR_ANTES_1945,N_EDIFICIOS_CONSTR_1946_1980,N_EDIFICIOS_CONSTR_1981_2000,N_EDIFICIOS_CONSTR_2001_2010,N_EDIFICIOS_CONSTR_2011_2021,N_EDIFICIOS_COM_NECESSIDADES_REPARACAO,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_FAMILIARES,N_ALOJAMENTOS_FAM_CLASS_RHABITUAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OU_RESID_SECUNDARIA,N_RHABITUAL_ACESSIVEL_CADEIRAS_RODAS,N_RHABITUAL_COM_ESTACIONAMENTO,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_AGREGADOS_DOMESTICOS_PRIVADOS,N_ADP_1_OU_2_PESSOAS,N_ADP_3_OU_MAIS_PESSOAS,N_NUCLEOS_FAMILIARES,N_NUCLEOS_FAMILIARES_COM_FILHOS_TENDO_O_MAIS_NOVO_MENOS_DE_25,N_INDIVIDUOS,N_INDIVIDUOS_H,N_INDIVIDUOS_M,N_INDIVIDUOS_0_14,N_INDIVIDUOS_15_24,N_INDIVIDUOS_25_64,N_INDIVIDUOS_65_OU_MAIS,SHAPE_Length,SHAPE_Area,geometry,ALs,pressao,Freguesia
0,52,13121000702,13,1312,131210,131210007,007,02,00702,13121000702,1,11,11A,59.0,44.0,15.0,58.0,43.0,16.0,25.0,26.0,5.0,3.0,0.0,34.0,202.0,202.0,155.0,47.0,29.0,73.0,103.0,39.0,155.0,105.0,50.0,98.0,40.0,328.0,145.0,183.0,29.0,34.0,184.0,81.0,612.308514074003,21064.4734505574,"MULTIPOLYGON (((-8.619215409378157 41.17106299331059, -8.61850078470544 41.17066121680701, -8.61770007451112 41.17009121816355, -8.617584947421259 41.16996740405981, -8.618625915912292 41.16939539709438, -8.619944706915518 41.17040858438167, -8.620082696880752 41.17038028484132, -8.620176042462527 41.170747817643715, -8.619426093855445 41.17123502207297, -8.619215409378157 41.17106299331059)))",3.0,0.01935483870967742,Paranhos
1,53,13120302118,13,1312,131203,131203021,021,18,02118,13120302118,1,11,11A,21.0,13.0,7.0,21.0,11.0,10.0,0.0,19.0,2.0,0.0,0.0,13.0,73.0,72.0,58.0,14.0,0.0,14.0,13.0,43.0,58.0,46.0,12.0,33.0,10.0,134.0,54.0,80.0,8.0,10.0,55.0,61.0,481.233388930995,13437.2764095628,"MULTIPOLYGON (((-8.582126078716755 41.171320072138755, -8.581975628394035 41.17125759492909, -8.581861647413941 41.17117659039871, -8.581725429101526 41.171053614042386, -8.58162572089077 41.17091998730215, -8.58152243847454 41.17079689144523, -8.581437819014171 41.17073152795331, -8.58127269713022 41.17066122002976, -8.581136917850156 41.17060394315843, -8.580947602435767 41.17057662370447, -8.581211007698323 41.170291045268, -8.581211398472027 41.17029068357446, -8.581288211443395 41.17021975743784, -8.581365983293779 41.17013376417101, -8.581390777011896 41.170084568856524, -8.581383619708879 41.17005024608673, -8.581520428435681 41.170028122069645, -8.581614452895794 41.17002241551483, -8.581699511450076 41.170031718907126, -8.581915589459184 41.17008190200088, -8.58290326910928 41.17036446170858, -8.582526743506197 41.17105573613486, -8.582342428089092 41.171388378172274, -8.582126078716755 41.171320072138755)))",0.0,0.0,Campanhã
2,54,13121103402,13,1312,131211,131211034,034,02,03402,13121103402,1,11,11A,31.0,26.0,5.0,31.0,20.0,11.0,17.0,9.0,1.0,4.0,0.0,7.0,78.0,78.0,71.0,7.0,10.0,21.0,26.0,42.0,71.0,50.0,21.0,40.0,18.0,143.0,67.0,76.0,15.0,8.0,79.0,41.0,707.17885926795,13484.0487385289,"MULTIPOLYGON (((-8.65034890692763 41.17007013405576, -8.649651187384334 41.169501290974615, -8.65049728119419 41.16891929449041, -8.65072575280543 41.16895903504043, -8.650654285686025 41.16926014282766, -8.650577546841328 41.16958344107562, -8.65057789048609 41.16962696461461, -8.650587711067718 41.169655949521044, -8.650975090514425 41.17009436031883, -8.651103880856645 41.17019777477124, -8.651245419167653 41.17029628740768, -8.6515443322572 41.170469074180794, -8.651710681757564 41.17057682014101, -8.651723785440673 41.17058534225591, -8.651744318209326 41.17059316369758, -8.65175737229362 41.17059705781229, -8.651772287996222 41.17059962801161, -8.651803961488111 41.17060278095967, -8.651838428557625 41.17060658673693, -8.651902671072959 41.170610249388616, -8.651987385218693 41.17061382788663, -8.652086070311373 41.170616677953774, -8.652140067813837 41.17061906299973, -8.652154961180662 41.17062031051573, -8.652187574582015 41.17062478185702, -8.652201570120585 41.17062867978235, -8.652225858317054 41.17064109532439, -8.652254884099298 41.170662068822196, -8.652279259686551 41.17068570243899, -8.652293292798431 41.17070930073142, -8.652173079046486 41.17073266939113, -8.652061783594903 41.17081087636079, -8.651622563172765 41.17112292896199, -8.65034890692763 41.17007013405576)))",0.0,0.0,Ramalde
3,55,13121600903,13,1312,131216,131216009,009,03,00903,13121600903,1,11,11A,57.0,46.0,11.0,57.0,44.0,13.0,0.0,44.0,13.0,0.0,0.0,7.0,109.0,109.0,94.0,15.0,24.0,65.0,64.0,23.0,94.0,62.0,32.0,57.0,24.0,205.0,89.0,116.0,33.0,12.0,100.0,60.0,824.199640879331,24498.6209212819,"MULTIPOLYGON (((-8.670053736515053 41.170928913826266, -8.67001513844456 41.17083087109366, -8.669853194551855 41.17048305894774, -8.669737549677711 41.170398143249535, -8.669714928123648 41.170381538434214, -8.669575327831943 41.170287216612095, -8.669435726756092 41.170192895522746, -8.668875421752432 41.169891611120335, -8.668493855801444 41.1697832364636, -8.667869162641221 41.16980202030864, -8.667810452159594 41.16981206345968, -8.667809955032142 41.16980954455889, -8.66780665997981 41.16980145597063, -8.667801803606828 41.169793330509144, -8.667795763140294 41.169785984015014, -8.667788823434181 41.169779570039985, -8.66778124795812 41.16977410356861, -8.667773310634937 41.16976956622102, -8.667765154094576 41.16976591321392, -8.667756252878753 41.16976285704737, -8.667746450365652 41.16976048038747, -8.667735856159396 41.169758926794316, -8.667724568321537 41.16975838580362, -8.667712907203438 41.16975898018784, -8.667701138146343 41.169760808663256, -8.667689592773133 41.16976391471223, -8.667684188310037 41.169766055810015, -8.66764422592716 41.16971368578212, -8.667642975882726 41.16960548220676, -8.667617960607584 41.16956241629377, -8.667430656659455 41.16945814914393, -8.667520742232742 41.16939269481938, -8.667659973027769 41.16929276082918, -8.668415207817466 41.16875068256768, -8.66859586395303 41.16890624782094, -8.668879204670308 41.169055453566116, -8.669422554574687 41.16936204035741, -8.669542969716545 41.16946070087347, -8.669762728135584 41.16965753532229, -8.669880627757928 41.16975591906103, -8.670012029640535 41.16981952089626, -8.67025624517343 41.16991904239281, -8.670323352680928 41.169982953596836, -8.670861718530883 41.17056822771546, -8.670964485768355 41.170685319904884, -8.670645524878116 41.17084416471673, -8.67009906489332 41.17104400635013, -8.670053736515053 41.170928913826266)))",0.0,0.0,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
4,56,13121600403,13,1312,131216,131216004,004,03,00403,13121600403,1,11,11A,4.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,6.0,6.0,2.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,0.0,1.0,2.0,2.0,177.035284103556,1829.03386205084,"MULTIPOLYGON (((-8.656888121332463 41.17093816192724, -8.657013637492541 41.1707339143236, -8.657197185179243 41.170510945488175, -8.657197569179194 41.170511131931136, -8.657516659334172 41.17066588466791, -8.65717706578954 41.17112899430523, -8.656888121332463 41.17093816192724)))",0.0,0.0,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
5,57,13120301810,13,1312,131203,131203018,018,10,01810,13120301810,1,11,11A,16.0,16.0,0.0,16.0,5.0,11.0,9.0,0.0,3.0,1.0,3.0,1.0,16.0,16.0,14.0,2.0,2.0,14.0,14.0,0.0,14.0,9.0,5.0,13.0,4.0,34.0,14.0,20.0,2.0,4.0,10.0,18.0,361.472127135844,7142.32992200887,"MULTIPOLYGON (((-8.584876052495611 41.171264721303004, -8.585354902899807 41.17032823679052, -8.585395879750067 41.1702362623315, -8.586044514609167 41.170429510842816, -8.585533774724807 41.17145426323601, -8.584876052495611 41.171264721303004)))",0.0,0.0,Campanhã
6,58,13120301813,13,1312,131203,131203018,018,13,01813,13120301813,1,11,11A,16.0,16.0,0.0,16.0,0.0,16.0,11.0,0.0,2.0,3.0,0.0,5.0,16.0,16.0,14.0,2.0,2.0,11.0,13.0,1.0,14.0,7.0,7.0,12.0,5.0,41.0,20.0,21.0,3.0,6.0,18.0,14.0,394.006733640071,8155.27670345594,"MULTIPOLYGON (((-8.584300994703401 41.172435989368644, -8.584403483932615 41.17220864276381, -8.584800156056993 41.171414916735166, -8.584876052495611 41.171264721303004, -8.585533774724807 41.17145426323601, -8.585456438800827 41.17160791430677, -8.584948152055572 41.17261771700359, -8.584300994703401 41.172435989368644)))",0.0,0.0,Campanhã
7,59,13121001303,13,1312,131210,131210013,013,03,01303,13121001303,1,11,11A,4.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,4.0,4.0,0.0,4.0,1.0,3.0,3.0,1.0,13.0,7.0,6.0,3.0,1.0,7.0,2.0,154.827970601439,1426.45942553179,"MULTIPOLYGON (((-8.59925566704662 41.17232170029939, -8.599768917003658 41.172143546884925, -8.599918241707957 41.172395314115086, -8.599406004314545 41.17256523323651, -8.59925566704662 41.17232170029939)))",0.0,0.0,Paranhos
8,60,13121002206,13,1312,131210,131210022,022,06,02206,13121002206,1,11,11A,15.0,0.0,15.0,15.0,0.0,15.0,0.0,14.0,1.0,0.0,0.0,0.0,143.0,143.0,139.0,4.0,0.0,2.0,1.0,136.0,139.0,92.0,47.0,85.0,40.0,310.0,147.0,163.0,36.0,37.0,152.0,85.0,557.264698290005,14545.7880471436,"MULTIPOLYGON (((-8.595924971080192 41.172369872396985, -8.595759265621014 41.1722617433498, -8.595386087458822 41.17183376326098, -8.595552473187523 41.17185094012206, -8.595843029682694 41.171855219896926, -8.59607875514372 41.17184369164602, -8.596277690082793 41.17182618882145, -8.596687815123211 41.171771810432986, -8.59690402275522 41.171733356872956, -8.596971347900553 41.17172138013026, -8.597070971624662 41.1717036545493, -8.59749804797731 41.17162180572693, -8.59777610364933 41.17156375985703, -8.597876191093263 41.17154426776129, -8.598163889972543 41.172041772391935, -8.597868558597764 41.17213577834764, -8.597485899659903 41.17225758895163, -8.59721935773404 41.17234831664733, -8.596995664736971 41.17242446243734, -8.596770671845256 41.17250105063559, -8.596446555794204 41.17261138470302, -8.595924971080192 41.172369872396985)))",0.0,0.0,Paranhos
9,61,13121103404,13,1312,131211,131211034,034,04,03404,13121103404,1,11,11A,25.0,10.0,15.0,25.0,6.0,19.0,3.0,11.0,1.0,9.0,1.0,6.0,129.0,129.0,117.0,12.0,11.0,24.0,29.0,83.0,117.0,72.0,45.0,88.0,40.0,284.0,137.0,147.0,45.0,28.0,138.0,73.0,782.409122670989,24968.5182271873,"MULTIPOLYGON (((-8.654551812317969 41.17236771136899, -8.654237274302375 41.17205402891199, -8.654036386906576 41.17187747249283, -8.65385929390096 41.17175623690908, -8.653700495410941 41.17168342191383, -8.653217765575839 41.17150590001561, -8.653004106106861 41.17144500136933, -8.652538356885795 41.171238460987766, -8.652061783594903 41.17081087636079, -8.652173079046486 41.17073266939113, -8.652293292798431 41.17070930073142, -8.652478490391807 41.17067331202741, -8.65261045596987 41.17064000420378, -8.652891140076605 41.17051430810441, -8.653046786342141 41.17041527214122, -8.653120279579381 41.170300508076984, -8.653890850992504 41.17041512988584, -8.653942842948227 41.170440996512035, -8.653970710870974 41.170472194714364, -8.653975607315159 41.170500634321, -8.653991507364331 41.17060024471959, -8.653980943013112 41.17092395629692, -8.654028146919966 41.17101159344165, -8.654115831763873 41.171072692723826, -8.654290633097977 41.171124617663885, -8.654249327563875 41.17128166246513, -8.65432590743615 41.17129006634181, -8.654594974961823 41.171337349278545, -8.654939481754848 41.17139789354752, -8.65535477165576 41.171464696216006, -8.65485534532214 41.17206401691504, -8.654552118441517 41.172370249199965, -8.654551812317969 41.17236771136899)))",1.0,0.008547008547008548,Ramalde
