id,geometry,novos_ET
Via Norte,"{'type': 'MultiLineString', 'coordinates': [[[-8.6224058, 41.1742319], [-8.6224311, 41.1745623], [-8.6224443, 41.1749254]], [[-8.6224443, 41.1749254], [-8.622428, 41.1757767], [-8.6224086, 41.1761959], [-8.6223626, 41.1770772], [-8.6223441, 41.1773783]], [[-8.6224076, 41.1799712], [-8.622421, 41.1789647], [-8.6224679, 41.178134], [-8.622481, 41.1779013]], [[-8.622481, 41.1779013], [-8.622523, 41.177265], [-8.6225697, 41.176201], [-8.6225901, 41.175563]], [[-8.6230011, 41.1708945], [-8.6230529, 41.1710119], [-8.6230709, 41.1711061], [-8.6230705, 41.1712116], [-8.6230229, 41.1713075], [-8.622721, 41.1716731], [-8.6224831, 41.1719383]], [[-8.6224832, 41.1739327], [-8.6224233, 41.1735894], [-8.6223571, 41.1732353], [-8.6223101, 41.1729785]], [[-8.6223101, 41.1729785], [-8.6222687, 41.1727099], [-8.6222773, 41.1725671], [-8.6223183, 41.1723975], [-8.6224389, 41.1721984], [-8.6226464, 41.1719602], [-8.6231442, 41.1713668], [-8.6232266, 41.1712179]], [[-8.6224831, 41.1719383], [-8.6223508, 41.172122], [-8.622257, 41.1722818], [-8.6221765, 41.1725008], [-8.6221663, 41.1728079], [-8.6223526, 41.1738075], [-8.6224058, 41.1742319]], [[-8.6232266, 41.1712179], [-8.6232962, 41.1709942], [-8.6233537, 41.1709128]], [[-8.6223441, 41.1773783], [-8.622341, 41.177525], [-8.6223015, 41.1783053], [-8.6222685, 41.1792449], [-8.6222203, 41.1799688], [-8.6222106, 41.1800989]], [[-8.6225901, 41.175563], [-8.6225945, 41.1749765], [-8.6225824, 41.1746747], [-8.622573, 41.1745264], [-8.6224832, 41.1739327]]]}",0
Via de Cintura Interna,"{'type': 'MultiLineString', 'coordinates': [[[-8.5835683, 41.166241], [-8.5833393, 41.1661137], [-8.5830903, 41.1659372], [-8.5827766, 41.1656524], [-8.5825702, 41.1653826], [-8.5815846, 41.1635853], [-8.5813554, 41.1631437], [-8.5812732, 41.1629297], [-8.5812285, 41.1627076], [-8.581208, 41.1625507], [-8.5812436, 41.1622154], [-8.5813189, 41.161894], [-8.5813789, 41.1617012]], [[-8.5810576, 41.1626066], [-8.5810984, 41.1628018], [-8.5811456, 41.1630178], [-8.5812089, 41.1631812], [-8.5814151, 41.1636211], [-8.582343, 41.1653233]], [[-8.5825433, 41.1541532], [-8.5822803, 41.153765], [-8.5820684, 41.1535031], [-8.581844, 41.1532555], [-8.5806171, 41.152175]], [[-8.5801756, 41.1520755], [-8.5805065, 41.1523496], [-8.5806624, 41.1524734]], [[-8.5797087, 41.1513862], [-8.579591, 41.1513017], [-8.5794589, 41.1511703], [-8.5793515, 41.1510393], [-8.5792523, 41.1508912], [-8.5791675, 41.1507136], [-8.5791058, 41.1505348], [-8.5790521, 41.1503305], [-8.5790221, 41.1500828], [-8.5790147, 41.1498879], [-8.5790455, 41.1495305], [-8.5790716, 41.1493722]], [[-8.5793775, 41.1483683], [-8.5792124, 41.1485993], [-8.5789795, 41.1489896], [-8.5788626, 41.1493052], [-8.5788068, 41.1495113], [-8.5787907, 41.1496759], [-8.5787812, 41.1498356]], [[-8.580636, 41.1472516], [-8.5808266, 41.1469845], [-8.5809668, 41.1467114], [-8.5810484, 41.1464643], [-8.5810987, 41.1462118], [-8.5811321, 41.1460614], [-8.5811692, 41.1456174], [-8.5811733, 41.1454215]], [[-8.586275, 41.1667121], [-8.585881, 41.1666361], [-8.5852376, 41.166587], [-8.5846706, 41.1665489], [-8.5844575, 41.1665245], [-8.5842759, 41.1664861], [-8.5840123, 41.1664215], [-8.5837625, 41.1663314], [-8.5835683, 41.166241]], [[-8.5938865, 41.1713532], [-8.5942438, 41.1715311], [-8.5945238, 41.1716668], [-8.5948342, 41.1717775], [-8.595151, 41.1718512], [-8.5953139, 41.1718772], [-8.5954794, 41.1718939], [-8.5958202, 41.1719027], [-8.59615, 41.1718873], [-8.5962995, 41.1718764], [-8.5964826, 41.171863], [-8.5967824, 41.1718256], [-8.5970968, 41.1717841]], [[-8.5970968, 41.1717841], [-8.5972761, 41.1717442], [-8.5976502, 41.1716611], [-8.5984665, 41.171497], [-8.5990121, 41.1713899], [-8.5996552, 41.17129], [-8.5999122, 41.1712674], [-8.6002844, 41.1712502], [-8.6005164, 41.1712527], [-8.6008317, 41.1712629]], [[-8.5980825, 41.1714553], [-8.5976016, 41.171549], [-8.5971127, 41.1716434], [-8.5967867, 41.1717033], [-8.5963197, 41.1717708]], [[-8.6187612, 41.1737099], [-8.6170284, 41.1738986], [-8.6156709, 41.174086], [-8.6143873, 41.1743083], [-8.6140302, 41.1743728], [-8.6136031, 41.1744194], [-8.6131713, 41.1744444], [-8.6127242, 41.1744467], [-8.6122417, 41.1744198], [-8.6117545, 41.1743715], [-8.6112907, 41.1743231], [-8.6108274, 41.1742758], [-8.6103421, 41.1741747], [-8.6100682, 41.1741101]], [[-8.6248431, 41.1732342], [-8.625445, 41.1731729], [-8.6262534, 41.1730907], [-8.6267878, 41.1730336], [-8.6270731, 41.1730093], [-8.6275707, 41.1729486], [-8.628169, 41.1728587], [-8.6285898, 41.1727779], [-8.6292317, 41.1726391], [-8.6318043, 41.1721074], [-8.6349099, 41.1714503], [-8.6353823, 41.1713354], [-8.6361072, 41.171126], [-8.6364412, 41.1710052], [-8.6368408, 41.1708607], [-8.63722, 41.1706806], [-8.6376588, 41.1704546], [-8.6383315, 41.170043], [-8.6391914, 41.1694225], [-8.6396461, 41.1690926], [-8.6400656, 41.1687869]], [[-8.6400656, 41.1687869], [-8.6409606, 41.1681478], [-8.6418896, 41.1674738]], [[-8.6402255, 41.1684717], [-8.6399326, 41.1686848], [-8.6397864, 41.1687912], [-8.6394296, 41.1690508], [-8.6390617, 41.1693235], [-8.6382159, 41.169924], [-8.6375489, 41.1703398], [-8.6371357, 41.1705565], [-8.6367384, 41.1707316], [-8.6363663, 41.1708806], [-8.6360389, 41.1709882], [-8.6353214, 41.1712011], [-8.6347085, 41.171345], [-8.6317597, 41.1719635], [-8.629856, 41.1723601], [-8.6291813, 41.1725108], [-8.6285632, 41.1726528]], [[-8.6424338, 41.1670798], [-8.6431264, 41.1665944], [-8.6438364, 41.1661784]], [[-8.6438364, 41.1661784], [-8.6439195, 41.1661341], [-8.6440977, 41.1660391], [-8.6448354, 41.1656763], [-8.6457185, 41.1652957], [-8.6464215, 41.1649919], [-8.6471743, 41.1646601], [-8.6475889, 41.1644474]], [[-8.6473116, 41.1583005], [-8.6467838, 41.1576721], [-8.6465457, 41.1573886], [-8.6463361, 41.1570948], [-8.6460349, 41.156564], [-8.6459571, 41.1564041], [-8.6458826, 41.1562423], [-8.6457532, 41.1559312], [-8.645209, 41.1545847], [-8.6451315, 41.1543915], [-8.6450522, 41.1542122], [-8.6449368, 41.1539618]], [[-8.6408358, 41.1497612], [-8.6408884, 41.1499311], [-8.6409421, 41.1500826], [-8.6409924, 41.1502078], [-8.6410489, 41.1503241], [-8.6411117, 41.1504401], [-8.6411828, 41.1505562], [-8.6412549, 41.150667], [-8.6413369, 41.1507828], [-8.6414029, 41.1508681]], [[-8.6418896, 41.1674738], [-8.6424338, 41.1670798]], [[-8.6449368, 41.1539618], [-8.6448595, 41.1538056], [-8.6447744, 41.1536552], [-8.6446322, 41.1534245], [-8.6445457, 41.1533037], [-8.6444725, 41.1532053], [-8.6442953, 41.1529865], [-8.6441813, 41.1528577], [-8.6440591, 41.1527372], [-8.6440043, 41.1526795], [-8.6438976, 41.1525805], [-8.643787, 41.1524831], [-8.6436804, 41.1523937], [-8.6435611, 41.1522996], [-8.6433941, 41.1521725], [-8.6431932, 41.152032], [-8.6426829, 41.1517091]], [[-8.6475889, 41.1644474], [-8.6477403, 41.1643665], [-8.6480384, 41.1641646], [-8.6485605, 41.1637503]], [[-8.6485605, 41.1637503], [-8.6486822, 41.1635913], [-8.6488237, 41.1634158], [-8.649004, 41.1631561], [-8.6491301, 41.1629112], [-8.6492347, 41.1626796], [-8.6493091, 41.1624342], [-8.6493691, 41.1621516], [-8.6493956, 41.1619991], [-8.6493951, 41.1616117], [-8.6493669, 41.1613544], [-8.6492924, 41.161046], [-8.649214, 41.1608242], [-8.6491299, 41.16063]], [[-8.6100682, 41.1741101], [-8.6098506, 41.1740588], [-8.6094622, 41.1739499], [-8.6089945, 41.1737773], [-8.6085888, 41.1735894], [-8.6082469, 41.1734016], [-8.6080253, 41.173261], [-8.6078735, 41.1731503], [-8.6075669, 41.1729265]], [[-8.6074554, 41.1730101], [-8.6078997, 41.1733305], [-8.6081998, 41.1735412], [-8.6084982, 41.1736919], [-8.6089263, 41.1738898], [-8.609499, 41.1740919], [-8.6099284, 41.1742146], [-8.6103207, 41.1742979]], [[-8.6029104, 41.1713619], [-8.601002, 41.1711496], [-8.6008036, 41.1711358], [-8.6006146, 41.1711301], [-8.6001893, 41.1711368], [-8.5997681, 41.171156], [-8.5993794, 41.1712095], [-8.598993, 41.1712754], [-8.5980825, 41.1714553]], [[-8.5866687, 41.1669663], [-8.587283, 41.1672781], [-8.5877846, 41.1675652], [-8.5885046, 41.1679634]], [[-8.5790716, 41.1493722], [-8.5790833, 41.1492366], [-8.5791848, 41.1490062], [-8.5794593, 41.1485634], [-8.580121, 41.1478157], [-8.5804831, 41.1474254], [-8.580636, 41.1472516]], [[-8.5899295, 41.1686383], [-8.5895095, 41.1683913], [-8.5881275, 41.1676088], [-8.5877008, 41.16737]], [[-8.5813789, 41.1617012], [-8.5821233, 41.1600111], [-8.5825043, 41.1590555], [-8.5829366, 41.1579875], [-8.5831124, 41.157395], [-8.5832432, 41.1565778], [-8.5832486, 41.1562537], [-8.5832314, 41.1560433], [-8.5831376, 41.1555198], [-8.5830663, 41.1552261], [-8.5829689, 41.1549325], [-8.5827353, 41.1544577], [-8.5825433, 41.1541532]], [[-8.5829972, 41.1567719], [-8.5829935, 41.1568186], [-8.582961, 41.1570886], [-8.5828769, 41.1573646], [-8.5827037, 41.1579484], [-8.5822802, 41.1589945], [-8.5815853, 41.1607831], [-8.5811627, 41.1618709], [-8.58109, 41.1622017], [-8.5810741, 41.1624297], [-8.5810576, 41.1626066]], [[-8.6491299, 41.16063], [-8.6490808, 41.1605398], [-8.6489516, 41.1603153], [-8.6487879, 41.1600861], [-8.6486988, 41.1599691], [-8.6473116, 41.1583005]], [[-8.5806171, 41.152175], [-8.5803615, 41.1519607], [-8.5800094, 41.1516841], [-8.5798447, 41.1515279], [-8.5797087, 41.1513862]], [[-8.5806624, 41.1524734], [-8.5813717, 41.1530643], [-8.5816206, 41.1532953], [-8.5820675, 41.1537938], [-8.5823795, 41.1542129], [-8.5825527, 41.154503], [-8.5827743, 41.1549681], [-8.5829026, 41.1553812], [-8.5829867, 41.1557646], [-8.5830305, 41.1562057], [-8.5829972, 41.1567719]], [[-8.6228809, 41.1734283], [-8.6235374, 41.1733582], [-8.6248431, 41.1732342]], [[-8.620333, 41.1736917], [-8.6215808, 41.173557], [-8.6217147, 41.1735443], [-8.6220241, 41.1735148], [-8.6226796, 41.173451], [-8.6228809, 41.1734283]], [[-8.6285632, 41.1726528], [-8.6281446, 41.1727384], [-8.6278597, 41.172785], [-8.6275569, 41.1728278], [-8.6270395, 41.1728942], [-8.6267457, 41.1729251], [-8.6261987, 41.1729788], [-8.6250947, 41.1730891], [-8.6235272, 41.173246], [-8.6227297, 41.1733214]], [[-8.6195799, 41.1736367], [-8.6194292, 41.1736497], [-8.6191738, 41.1736744], [-8.6187612, 41.1737099]], [[-8.6459067, 41.1650784], [-8.6456419, 41.1651922], [-8.6446082, 41.1656403], [-8.6440188, 41.165911], [-8.6433689, 41.1662727], [-8.6427094, 41.1666923], [-8.6417851, 41.1673598], [-8.6402255, 41.1684717]], [[-8.582343, 41.1653233], [-8.5824273, 41.1654555], [-8.5825444, 41.1656138], [-8.5826629, 41.1657495], [-8.5829899, 41.1660386], [-8.5832291, 41.1662014], [-8.5834845, 41.1663369], [-8.5837023, 41.1664426], [-8.5839559, 41.1665326], [-8.5842183, 41.1666003], [-8.5844267, 41.1666436], [-8.5846407, 41.1666679], [-8.5852095, 41.1667019], [-8.5854133, 41.1667133], [-8.5858513, 41.166753], [-8.5862343, 41.1668255], [-8.5866687, 41.1669663]], [[-8.6103207, 41.1742979], [-8.6107979, 41.1743949], [-8.6112672, 41.1744427], [-8.6117132, 41.1744814], [-8.6122292, 41.17453], [-8.6127432, 41.1745525], [-8.6131776, 41.1745528], [-8.6136101, 41.1745334], [-8.614069, 41.1744758], [-8.6144257, 41.1744224], [-8.6157169, 41.1742046], [-8.6170546, 41.17402], [-8.6182415, 41.1738966], [-8.6186796, 41.1738557]], [[-8.5877008, 41.16737], [-8.5870711, 41.1670219], [-8.586693, 41.1668441], [-8.586275, 41.1667121]], [[-8.589606, 41.1685955], [-8.5900944, 41.168888], [-8.590448, 41.1691013], [-8.5912283, 41.1695912], [-8.5920643, 41.1701295], [-8.5935435, 41.1711232], [-8.5938865, 41.1713532]], [[-8.5885046, 41.1679634], [-8.5894417, 41.1684971], [-8.589606, 41.1685955]], [[-8.5963197, 41.1717708], [-8.5958087, 41.1718006], [-8.5955574, 41.1717961], [-8.5952959, 41.1717642], [-8.595079, 41.1717269], [-8.5948675, 41.1716781], [-8.5946028, 41.1715812], [-8.5943187, 41.1714465], [-8.5939603, 41.171244], [-8.5936475, 41.1710334], [-8.5927457, 41.1704297], [-8.5921489, 41.1700406], [-8.5913347, 41.1695054], [-8.5905563, 41.1690224], [-8.5901841, 41.1687969], [-8.5899295, 41.1686383]], [[-8.6075669, 41.1729265], [-8.6068776, 41.1724285], [-8.6062189, 41.1720447], [-8.6056919, 41.1718197], [-8.6050237, 41.1716349], [-8.6042585, 41.1715063], [-8.6029104, 41.1713619]], [[-8.6008317, 41.1712629], [-8.6011021, 41.1712852], [-8.6016702, 41.1713354], [-8.6042285, 41.1716221], [-8.6049898, 41.1717481], [-8.6056059, 41.1719238], [-8.6061885, 41.1721669], [-8.606783, 41.1725125], [-8.6074554, 41.1730101]], [[-8.6186796, 41.1738557], [-8.619473, 41.1737801], [-8.6195968, 41.1737674], [-8.6199098, 41.1737353], [-8.620333, 41.1736917]], [[-8.6423122, 41.1516431], [-8.6425753, 41.1518013], [-8.6428349, 41.1519595], [-8.6430887, 41.1521214], [-8.643336, 41.1522959], [-8.6436757, 41.1525659], [-8.6437924, 41.1526663], [-8.6439403, 41.1528041], [-8.6441769, 41.1530624], [-8.6444154, 41.1533696], [-8.6445129, 41.1535123], [-8.6446242, 41.1536905], [-8.6447139, 41.1538521], [-8.6448712, 41.1541764], [-8.6449344, 41.1543193], [-8.6450109, 41.1545059], [-8.6452306, 41.1550502]], [[-8.6452306, 41.1550502], [-8.6453262, 41.1552845], [-8.6453805, 41.1554134], [-8.6454743, 41.1556535], [-8.6455749, 41.1558948], [-8.6456744, 41.1561383], [-8.6458005, 41.1564294], [-8.6458816, 41.1565942], [-8.6459508, 41.1567287], [-8.6462183, 41.1571804], [-8.6464357, 41.1574888], [-8.6466562, 41.1577671], [-8.6475074, 41.1587788], [-8.6479153, 41.1592537], [-8.6484557, 41.1598944]], [[-8.5787812, 41.1498356], [-8.578805, 41.1500416], [-8.5788145, 41.1501299], [-8.5788645, 41.1503484], [-8.5789177, 41.1505673], [-8.5789978, 41.1507592], [-8.579097, 41.1509367], [-8.5792813, 41.1512011], [-8.5794968, 41.1514529], [-8.5801756, 41.1520755]], [[-8.6484557, 41.1598944], [-8.6485361, 41.1599932], [-8.6486579, 41.1601446], [-8.6488141, 41.160369], [-8.6489403, 41.1605787], [-8.6490501, 41.1608337], [-8.6491365, 41.1610683], [-8.6491584, 41.1611377], [-8.6492052, 41.1613579], [-8.649239, 41.1616109], [-8.6492332, 41.1619891], [-8.6492135, 41.1621443], [-8.6491502, 41.162419], [-8.6490832, 41.1626412], [-8.6489939, 41.1628588], [-8.648845, 41.1631346], [-8.6486823, 41.1633658], [-8.6485432, 41.1635363], [-8.6484009, 41.1637018], [-8.6482151, 41.1638629], [-8.6479339, 41.1640762], [-8.6478017, 41.1641707], [-8.6475957, 41.1642894], [-8.6471133, 41.1645474], [-8.6462579, 41.1649225], [-8.6459067, 41.1650784]], [[-8.6227297, 41.1733214], [-8.6226237, 41.1733314], [-8.6219806, 41.1733992], [-8.6217161, 41.1734289], [-8.6207853, 41.1735198], [-8.6199808, 41.1735964], [-8.6195799, 41.1736367]], [[-8.6414029, 41.1508681], [-8.6414222, 41.150893], [-8.64151, 41.1509899], [-8.6416166, 41.151099], [-8.6417185, 41.1511967], [-8.641824, 41.1512902], [-8.641944, 41.1513866], [-8.6420639, 41.1514765], [-8.6421874, 41.1515623], [-8.6423122, 41.1516431]]]}",0
Rua da Conceição,"{'type': 'MultiLineString', 'coordinates': [[[-8.6140445, 41.1499575], [-8.6148131, 41.1499245]]]}",0
Rua de José Falcão,"{'type': 'MultiLineString', 'coordinates': [[[-8.6140445, 41.1499575], [-8.6143119, 41.1486948], [-8.6143324, 41.148557], [-8.61437, 41.1483742], [-8.6143805, 41.1483296], [-8.614397, 41.1482599]], [[-8.614397, 41.1482599], [-8.6145055, 41.1478651]]]}",2
Rua do General Silveira,"{'type': 'MultiLineString', 'coordinates': [[[-8.6148131, 41.1499245], [-8.6147925, 41.1501202]], [[-8.6147925, 41.1501202], [-8.6147127, 41.1509259]], [[-8.6147127, 41.1509259], [-8.6147002, 41.1510452]]]}",0
Rua do Alferes Malheiro,"{'type': 'MultiLineString', 'coordinates': [[[-8.6120177, 41.152994], [-8.6108785, 41.1522982]], [[-8.6094979, 41.1514773], [-8.6094308, 41.1514862], [-8.6093949, 41.1514909], [-8.6085693, 41.151113], [-8.6085537, 41.1511065], [-8.6085454, 41.151103], [-8.6085106, 41.1510886]], [[-8.6096613, 41.1516838], [-8.6097789, 41.1517214], [-8.6099546, 41.1517987], [-8.6100158, 41.1518299]], [[-8.6100158, 41.1518299], [-8.6100969, 41.1518576], [-8.6101425, 41.1518487]], [[-8.6108785, 41.1522982], [-8.6102726, 41.1519282]], [[-8.6102726, 41.1519282], [-8.6101425, 41.1518487]], [[-8.6085106, 41.1510886], [-8.6085454, 41.151103], [-8.6085537, 41.1511065], [-8.6085693, 41.151113], [-8.6093949, 41.1514909], [-8.6094308, 41.1514862], [-8.6094979, 41.1514773]]]}",0
Rua do Almada,"{'type': 'MultiLineString', 'coordinates': [[[-8.6120177, 41.152994], [-8.6120989, 41.1502687]], [[-8.6119957, 41.153597], [-8.6120177, 41.152994]], [[-8.6121496, 41.1479508], [-8.6121861, 41.1471763]], [[-8.6121351, 41.1487987], [-8.61215, 41.1482505]], [[-8.6121861, 41.1471763], [-8.6122068, 41.1460915], [-8.6122224, 41.1460292], [-8.6122327, 41.1459905]], [[-8.6120989, 41.1502687], [-8.612104, 41.1498023], [-8.6121351, 41.1487987]], [[-8.61215, 41.1482505], [-8.6121485, 41.1481815], [-8.6121494, 41.1479854], [-8.6121496, 41.1479508]]]}",0
Rua de Gonçalo Cristóvão,"{'type': 'MultiLineString', 'coordinates': [[[-8.6119957, 41.153597], [-8.6115322, 41.1535869], [-8.611451, 41.1535795]], [[-8.6047458, 41.1536304], [-8.6047782, 41.1535564], [-8.6048056, 41.1535394], [-8.6048512, 41.1535301], [-8.6054379, 41.153538]], [[-8.6062294, 41.1535512], [-8.6078017, 41.1535852]], [[-8.6079339, 41.1535881], [-8.6080435, 41.1535825]], [[-8.6067659, 41.1534591], [-8.6066964, 41.153476], [-8.6063516, 41.1534669]], [[-8.6087035, 41.1535469], [-8.6084561, 41.1535295], [-8.6082328, 41.1535174], [-8.6080724, 41.1534925], [-8.6079953, 41.1534752]], [[-8.609951, 41.1536176], [-8.6100571, 41.1536197]], [[-8.6100571, 41.1536197], [-8.6110627, 41.1536371], [-8.6114608, 41.1536317]], [[-8.6099822, 41.1535029], [-8.6090598, 41.1534962]], [[-8.6080435, 41.1535825], [-8.6086021, 41.1535627], [-8.6087035, 41.1535469]], [[-8.6080435, 41.1535825], [-8.6081757, 41.153601], [-8.6089929, 41.1536005], [-8.609951, 41.1536176]], [[-8.6111483, 41.1535842], [-8.6114608, 41.1536317]], [[-8.6079953, 41.1534752], [-8.6078512, 41.1534557]], [[-8.6054379, 41.153538], [-8.6060983, 41.1535462]], [[-8.6111488, 41.1535186], [-8.611086, 41.1535128], [-8.6110268, 41.1535122], [-8.6100569, 41.1535027]], [[-8.6090598, 41.1534962], [-8.6086304, 41.1534931], [-8.6085809, 41.1534902]], [[-8.6085809, 41.1534902], [-8.6079953, 41.1534752]], [[-8.6051793, 41.1534529], [-8.6048543, 41.1534463], [-8.6048034, 41.1534533], [-8.6047566, 41.153471]], [[-8.6053647, 41.1534544], [-8.6051793, 41.1534529]], [[-8.6063516, 41.1534669], [-8.6061011, 41.1534645]], [[-8.60689, 41.1534494], [-8.6067659, 41.1534591]], [[-8.6078512, 41.1534557], [-8.60689, 41.1534494]], [[-8.611451, 41.1535795], [-8.6111483, 41.1535842]], [[-8.611451, 41.1535795], [-8.6112609, 41.1535389], [-8.6111488, 41.1535186]], [[-8.6060983, 41.1535462], [-8.6062294, 41.1535512]], [[-8.6061011, 41.1534645], [-8.6053647, 41.1534544]], [[-8.6078017, 41.1535852], [-8.6079339, 41.1535881]]]}",0
Rua Elísio de Melo,"{'type': 'MultiLineString', 'coordinates': [[[-8.6121496, 41.1479508], [-8.6122867, 41.1480274]], [[-8.6112856, 41.147888], [-8.6113836, 41.1478963], [-8.6121496, 41.1479508]], [[-8.6109422, 41.1478426], [-8.6111125, 41.1478666]], [[-8.6111125, 41.1478666], [-8.6112856, 41.147888]]]}",0
Avenida dos Aliados,"{'type': 'MultiLineString', 'coordinates': [[[-8.6112856, 41.147888], [-8.6113566, 41.147557], [-8.6114106, 41.1472792], [-8.6114558, 41.14704]], [[-8.6109422, 41.1478426], [-8.6109374, 41.147861], [-8.6108812, 41.1480789], [-8.6108186, 41.1482966], [-8.610699, 41.1486454], [-8.6106718, 41.1487177], [-8.6106307, 41.148827], [-8.6105476, 41.1490134]], [[-8.6112107, 41.1492871], [-8.6111985, 41.1490981]], [[-8.6111721, 41.1467061], [-8.6111403, 41.1468445]], [[-8.6111101, 41.1469845], [-8.6109568, 41.1477412]], [[-8.6114558, 41.14704], [-8.6114857, 41.1468841]], [[-8.6105476, 41.1490134], [-8.6104496, 41.1491992]], [[-8.6111985, 41.1490981], [-8.6112052, 41.1489563], [-8.6112286, 41.1483943], [-8.6112431, 41.148237], [-8.6112636, 41.1480166]], [[-8.6112636, 41.1480166], [-8.6112824, 41.14791], [-8.6112856, 41.147888]], [[-8.6109568, 41.1477412], [-8.6109422, 41.1478426]], [[-8.6111403, 41.1468445], [-8.6111101, 41.1469845]], [[-8.6114857, 41.1468841], [-8.6115139, 41.1467502]]]}",3
