,X,Y,OBJECTID,NrRNAL,Denominacao,DataRegisto,DataAberturaPublico,Modalidade,NrUtentes,Email,Endereco,CodigoPostal,Freguesia,Concelho,Distrito,lat,lon
101,-8.63032000015266,41.1580100008993,160990934,519,Koolhouse Porto ,2014-12-05,2014-12-05,EstabelecimentoHospedagem,23,kendall.faria@gmail.com,Avenida Avenida Boavista 911,4100-128,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.158582,-8.63443
205,-8.62129530292453,41.1514825474116,160991038,6162,Rosario Apartments,2012-10-16,2012-10-16,Apartamento,2,info@castroportugal.pt,Rua Rosário 337 2º,4050-525,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.151487,-8.621314
215,-8.61417134561618,41.1411633079401,160991048,6201,DOURO Apartments - Ribeira - RiverSide,2014-06-03,2014-06-03,Apartamento,4,coimbradsr@gmail.com,Rua Infante Dom Henrique 37 2º esq. Fração D,4050-297,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.141119,-8.614106
227,-8.61849086771041,41.1427931044412,160991060,6260,bnapartments Rio,2015-02-03,2015-02-03,Apartamento,2,staff@bnapartments.com,Rua Francisco da Rocha Soares 54 2º Frente,4050-280,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.142787,-8.618484
229,-8.6172461440864,41.1438089369002,160991062,6269,Taipas Apartments,2012-06-22,2012-06-22,Apartamento,5,tpabreu@gmail.com,Rua Taipas 95 res chão frente,4050-600,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.143822,-8.617267
235,-8.61222420142377,41.1582495192524,160991068,6294,Gz Hostel,2012-06-27,2012-06-27,Apartamento,8,gzhostel@gmail.com,Rua Antero de Quental 11,4050-055,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.158282,-8.612279
238,-8.61481548259065,41.1502679256362,160991071,6312,Pilot Hostel,2012-10-30,2012-10-30,EstabelecimentoHospedagemHostel,60,prrcarva@gmail.com,Rua General Silveira 11,4050-588,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.15013,-8.614844
241,-8.60671035209131,41.1492041403325,160991074,6328,By Bolhão - Apartments,2014-07-29,2014-07-29,Apartamento,0,jmgreina@outlook.pt,Rua Alexandre Braga 76 1º frente Fração B,4000-049,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.149207,-8.606596
242,-8.61439892301363,41.1508260610573,160991075,6335,Residencial Portuguesa,2011-11-30,2011-11-30,EstabelecimentoHospedagem,0,geral@residencialportuguesa.com,Travessa Coronel Pacheco 11,4050-454,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.150878,-8.614414
247,-8.62131500028375,41.1532056043567,160991080,6360,Serviced Apartments - Boavista Palace,2011-07-07,2011-07-07,Apartamento,5,martins@goldencrest.pt,Rua Dr. Emilio Peres 74 3º  cen/dir,4050-653,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,41.157788,-8.623471
