OBJECTID,SHAPESTArea,SHAPESTLength,NrRNET,Denominacao,EntProprietaria,EntExploradora,TipologiaET,Categoria,NrUnidAloj,NrCamasFixas,NrQuartos,NrSuites,NrApart,NrMoradias,NrCampistas,IntegraCT,DesignacaoCT,CampoGolfe,SalasReunioes,CapacSalasReunioes,SPA,OutrosEquip,AnoAberturaEmpreendimento,ClassificacaoTdP,DataUltClassifF,ValidadeClassif,ParecerPostClassif,DataPostClassif,AtribuicaoUT,RecTurNatureza,CertifAmbiental,DesigCertifAmbiental,CertifQualServ,DesigCertifQualServ,OutrasCertifPremios,DesigOutrasCertif,ImovelClassificado,Website,Email,Endereco,CodigoPostal,LocalidadeCP,LatLong,FiabilidadeGeo,Freguesia,Concelho,Distrito,NUTSIII,NUTSII,NUTSI,ERT,PNCT,RNAP,RedeNatura2000Global,RedeNatura2000Sitios,RedeNatura2000ZPE,FaixaCosteira,ZonaCosteira,ZonaTerrestreProtecao,LimitePROT,LimitePOC,LimiteAlbufeiras,UNESCO,Geoparques,Biosfera,RedeAldeias,FreguesiasCosteiras,NUTSIIICosteiras,DataAtualiza,SeloCleanSafe,RNET
9235253,1024.9013671875,163.591070713317,10102,Sé Catedral Hotel,"MERCAN PROPERTIES, S.A.","MERCAN PROPERTIES, S.A.",Hotel,4,77,144,73,4,0,0,0,NaoIntegra,,Não,Não,0,Não,"Zona de estar; Bar e Restaurante; Esplanada interior",2022,Sim,2023/03/19 00:00:00+00,2028/03/19 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,https://www.hilton.com/en/hotels/oposcup-se-catedr,ask@secatedralhotel.com,Rua Chã 52,4000-052,PORTO,"41,1435229168494 ; -8,60998972925884",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Zona Terrestre de Proteção (margem + 500m),Norte,Não Abrangido,Não Abrangido,"Centro Histórico do Porto, Ponte Luiz I e Mosteiro da Serra do Pilar",Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/03/20 00:00:00+00,Não,10102
9235272,384.72802734375,119.164381098799,10138,Duerming Republik,"TERRARA TÊXTEIS\, S.A.","PARTILHA DOMINIO\, LDA",HotelApartamento,2,15,30,0,0,15,0,0,NaoIntegra,,Não,Não,0,Não,,2022,Sim,2023/04/07 00:00:00+00,2028/04/07 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,,direccion.oriental@ocahotels.pt,"Rua Gonçalo Cristóvão, 334-338",4000-266,PORTO,,Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não abrangido,Norte,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/04/10 00:00:00+00,Não,10138
9235299,481.6552734375,97.1045777523601,10184,The Editory Boulevard Aliados Hotel,"ALMADALIADOS, S.A.","THE EDITORY ALIADOS – EXPLORAÇÃO HOTELEIRA, S.A.",Hotel,5,68,75,66,2,0,0,0,NaoIntegra,,Não,Sim,50,Não,Piscina exterior e ginásio,2022,Sim,2022/07/19 00:00:00+00,2027/07/19 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.editoryhotels.com/boulevard-aliados-porto,recepcao.boulevard@editoryhotels.pt,"Avenida dos Aliados, 141/147",4000-065,PORTO,"41,1480976132413 ; -8,6116346805633",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/07/20 00:00:00+00,Não,10184
9235304,530.0068359375,102.142680990507,1019,Hotel Portofoz,Maria Sótera Teixeira,DISTINTO DESPERTAR SOCIEDADE UNIPESSOAL LDA,Hotel,2,10,20,7,3,0,0,0,NaoIntegra,,Não,Não,0,Não, ,1984,Sim,2020/03/12 00:00:00+00,2025/03/12 00:00:00+00,Não,,Sim,Não,Não,,Não,,Não,,Não,www.portofoz.com,portofoz@portofoz.com,"Rua do Farol, 155 - 3º",4150-310,Porto,"41,1531623133989 ; -8,6777812808187",Fiavel,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Zona Terrestre de Proteção (margem + 500m),Norte,POC Caminha - Espinho,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2020/03/23 18:51:04+00,Sim,1019
9235371,5.5361328125,8.35270207611373,10319,Bragança Oporto Hotel,JOÃO JOSE MARTINS DE SA,JOÃO JOSE MARTINS DE SA,Hotel,2,19,46,4,15,0,0,0,NaoIntegra,,Não,Não,0,Não,,0,Sim,,,Não,,Sim,Não,Não,,Não,,Não,,Não,bragancaoportohotel.com,bragancaoporto@gmail.com,"Rua Arquiteto Nicolau Nasoni, 12",4050-423,PORTO,"41.14552 ; -8.6134",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não abrangido,Norte,Não abrangido,Não abrangido,"Centro Histórico do Porto, Ponte Luiz I e Mosteiro da Serra do Pilar",Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/07/08 00:00:00+00,Não,10319
9235382,5.5205078125,8.33819503058487,1034,Século Hotel,"INVICTA - EMPREENDIMENTOS TURISTICOS, LDA","INVICTA - EMPREENDIMENTOS TURISTICOS, LDA",Hotel,2,19,38,19,0,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar,0,Sim,2015/06/17 00:00:00+00,2020/06/17 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.seculoresidencial.com,mail@seculohotel.com,"Rua Santa Catarina, 1253",4000-447,Porto,"41,1570655586378 ; -8,60442784585127",Fiavel,Bonfim,Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,,Não,1034
9235413,479.552734375,109.263845493969,1040,Hotel  Poveira,"Pensão e Restaurante Poveira, Lda.","Pensão e Restaurante Poveira, Lda.",Hotel,1,27,48,27,0,0,0,0,NaoIntegra,,Não,Não,0,Não, ,0,Sim,2016/11/08 00:00:00+00,2021/11/08 00:00:00+00,Não,,Sim,Não,Não,,Não,,Não,,Sim,www.hotelpoveira.com,info@hotelpoveira.com,"Rua da Estação, 56",4300-171,Porto,"41,148206032762 ; -8,58637696595803",Fiavel,Campanhã,Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Zona Terrestre de Proteção (margem + 500m),Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2020/10/13 00:00:00+00,Não,1040
9235414,1236.24267578125,196.669954212698,10403,Oca Republik,"FRANCISCO MAGALHÃES & FILHOS, LDA.","PARTILHA DOMINIO\, LDA",Hotel,4,43,86,42,1,0,0,0,NaoIntegra,,Não,Não,0,Não,"Ginásio e instalações sanitárias de apoio; zona de estar, bar, sala de refeições;Business center; Zona verde",2022,Nao,2023/03/10 00:00:00+00,2028/03/10 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,www.ocahotels.pt/,direccion.oriental@ocahotels.pt,Praça da República 26 e 29,4050-495,PORTO,"41,153349582297 ; -8,61279621531527",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/03/13 00:00:00+00,Não,10403
9235433,831.662109375,126.712673496971,10433,Casual Raízes Porto,"Desarrollos Hoteleiros Oporto 2018, Lda",CASUALPRICE PORTUGAL UNIPESSOAL LDA,Hotel,3,41,79,39,2,0,0,0,NaoIntegra,,Não,Não,0,Não,"Zona de estar, sala de pequenos-almoços, terraço com esplanada",2022,Sim,2022/12/26 00:00:00+00,2027/12/26 00:00:00+00,Não,,Não,Não,Sim,Certificação Energética,Não,,Não,,Não,casualhoteles.com,raizes@casualhoteles.com,"Rua de Santa Catarina, 615",4000-453,PORTO,"41,1515899828278 ; -8,60532427078066",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Não Abrangido,Faixa Costeira (5km),Zona Costeira (2km),Não Abrangido,Norte,Não Abrangido,Não Abrangido,Não Abrangido,Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2022/12/27 00:00:00+00,Não,10433
9235462,621.12841796875,106.53712087548,10499,Icon Duplo Ribeira,"Ascenluntias - Unipessoal, Lda.","Ascenluntias - Unipessoal, Lda.",Hotel,4,54,103,51,3,0,0,0,NaoIntegra,,Não,Não,0,Não,Bar,2022,Sim,2023/04/06 00:00:00+00,2028/04/06 00:00:00+00,Não,,Não,Não,Não,,Não,,Não,,Não,https://www.iconduploribeira.com/pt/,helloduplo@iconhotels.com,"Rua São João, nº 104",4050-551,PORTO,"41,1422636857153 ; -8,61372470190582",Fiavel,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Porto,Porto,Área Metropolitana do Porto,Norte,Continente,Turismo do Porto e Norte de Portugal,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Não abrangido,Faixa Costeira (5km),Zona Costeira (2km),Zona Terrestre de Proteção (margem + 500m),Norte,Não abrangido,Não abrangido,"Centro Histórico do Porto, Ponte Luiz I e Mosteiro da Serra do Pilar",Não abrangido,Não abrangido,Não Abrangido,Sim,Sim,2023/04/06 00:00:00+00,Não,10499
